query	combination_0	combination_1
interactive-discover-1-0	4.2164	
interactive-discover-1-1	0.012800000000000006	0.1142
interactive-discover-1-2	0.0	0.0
interactive-discover-1-3	0.19140000000000046	0.44620000000000026
interactive-discover-1-4	0.22239999999999926	0.07659999999999989
interactive-discover-2-0	56.22380000000001	62.95520000000001
interactive-discover-2-1	1.9079999999999977	3.243999999999999
interactive-discover-2-2	0.4637999999999989	1.4493999999999976
interactive-discover-2-3	36.28280000000002	43.46599999999998
interactive-discover-2-4	30.534000000000006	30.334600000000005
interactive-discover-3-0	0.04039999999998711	0.023399999999997423
interactive-discover-3-1	0.030999999999995476	0.02420000000000644
interactive-discover-3-2	0.029799999999996718	0.03640000000000643
interactive-discover-3-3	0.4573999999999834	0.5559999999999472
interactive-discover-3-4	0.2940000000000502	0.22900000000001475
interactive-discover-4-0	0.0	0.0
interactive-discover-4-1	0.0	0.0
interactive-discover-4-2	0.0	0.0
interactive-discover-4-3	0.0	0.0
interactive-discover-4-4	0.0007999999999999119	0.0
interactive-discover-5-0	0.23179999999999962	0.1607999999999986
interactive-discover-5-1	0.0013999999999999568	0.0015999999999999348
interactive-discover-5-2	0.0008000000000000229	0.0016000000000001569
interactive-discover-5-3	0.00819999999999993	0.013199999999999934
interactive-discover-5-4	0.3555999999999996	0.2941999999999987
interactive-discover-6-0		
interactive-discover-6-1	0.0	0.0
interactive-discover-6-2	0.0	0.0
interactive-discover-6-3		
interactive-discover-6-4	18.0116	21.547200000000007
interactive-discover-7-0		
interactive-discover-7-1	0.0	0.0
interactive-discover-7-2	0.0	0.0
interactive-discover-7-3		
interactive-discover-7-4	0.0	0.0
interactive-discover-8-0		
interactive-discover-8-1		
interactive-discover-8-2		
interactive-discover-8-3		
interactive-discover-8-4		
