combination	duration_total	duration_total_delta	duration_min	duration_min_delta	duration_max	duration_max_delta	first_result_total	first_result_total_delta	first_result_min	first_result_min_delta	first_result_max	first_result_max_delta	last_result_total	last_result_total_delta	last_result_min	last_result_min_delta	last_result_max	last_result_max_delta	dieff_total	dieff_total_delta	dieff_min	dieff_min_delta	dieff_max	dieff_max_delta	http	success	queries
baseline	181.012	0.000	0.017	0.000	78.715	0.000	127.288	0.000	0.014	0.000	78.702	0.000	144.218	0.000	0.014	0.000	78.714	0.000	356.948	0.000	0.007	0.000	174.522	0.000	8434	63	75
overhead	81.906	-0.548	0.063	2.706	22.375	-0.716	52.091	-0.591	0.021	0.500	22.373	-0.716	69.734	-0.516	0.021	0.500	22.375	-0.716	295.923	-0.171	0.011	0.500	153.457	-0.121	7448	62	75
interval-100-once	142.582	-0.212	0.026	0.529	89.203	0.133	112.139	-0.119	0.018	0.286	89.157	0.133	125.598	-0.129	0.018	0.286	89.203	0.133	265.193	-0.257	0.009	0.286	85.538	-0.510	8251	61	75
interval-1000-once	169.883	-0.061	0.029	0.706	116.045	0.474	139.252	0.094	0.025	0.786	116.041	0.474	159.238	0.104	0.025	0.786	116.044	0.474	253.937	-0.289	0.013	0.786	72.205	-0.586	9016	62	75
interval-10000-once	64.001	-0.646	0.046	1.706	8.368	-0.894	30.334	-0.762	0.032	1.286	4.561	-0.942	48.123	-0.666	0.032	1.286	8.367	-0.894	323.357	-0.094	0.016	1.286	203.767	0.168	10413	62	75
interval-2000-once	56.128	-0.690	0.025	0.471	6.198	-0.921	29.036	-0.772	0.022	0.571	4.200	-0.947	47.212	-0.673	0.022	0.571	6.195	-0.921	306.724	-0.141	0.011	0.571	183.376	0.051	9229	62	75
interval-20000-once	183.754	0.015	0.026	0.529	114.097	0.449	147.811	0.161	0.017	0.214	114.095	0.450	164.680	0.142	0.017	0.214	114.097	0.450	395.119	0.107	0.009	0.214	199.905	0.145	12829	62	75
interval-5000-once	81.449	-0.550	0.023	0.353	17.312	-0.780	49.412	-0.612	0.017	0.214	17.195	-0.782	59.558	-0.587	0.017	0.214	17.311	-0.780	324.478	-0.091	0.009	0.214	211.590	0.212	15580	63	75
metadata-once	116.423	-0.357	0.025	0.471	35.473	-0.549	82.455	-0.352	0.017	0.214	35.471	-0.549	98.506	-0.317	0.017	0.214	35.473	-0.549	353.783	-0.009	0.009	0.214	215.832	0.237	18289	61	75
metadata-unlimited	166.638	-0.079	0.019	0.118	62.597	-0.205	44.921	-0.647	0.019	0.357	23.302	-0.704	151.681	0.052	0.019	0.357	62.597	-0.205	921.765	1.582	0.009	0.357	517.134	1.963	12495	61	75
