Combination	Δ dieff@full	Δ dieff@full min	Δ dieff@full max	Δ duration	Δ duration min	Δ duration max	Δ first result	Δ first result min	Δ first result max	Δ last result	Δ last result min	Δ last result max	Queries
baseline													24
overhead	0.205	-0.033	0.242	-0.428	0.011	-0.769	-0.036	-0.000	-0.107	0.006	0.025	-0.073	24
interval-100-once	-0.107	-0.053	-0.240	-0.457	0.000	-0.791	-0.072	-0.068	-0.133	-0.022	0.030	-0.108	24
interval-1000-once	-0.213	-0.116	-0.344	-0.446	0.030	-0.789	-0.042	-0.023	-0.125	0.004	0.064	-0.107	24
interval-2000-once	-0.239	-0.105	-0.388	-0.437	0.050	-0.781	0.011	0.068	-0.070	-0.023	0.047	-0.122	24
interval-5000-once	-0.150	-0.129	-0.283	-0.455	0.015	-0.791	-0.069	-0.015	-0.201	-0.058	0.006	-0.175	24
interval-10000-once	-0.179	-0.115	-0.257	-0.444	0.030	-0.783	-0.037	0.006	-0.135	-0.039	0.021	-0.143	24
interval-20000-once	-0.117	-0.071	-0.233	-0.417	0.067	-0.776	0.071	0.095	-0.065	0.034	0.071	-0.089	24
metadata-once	-0.107	0.006	-0.252	-0.373	0.012	-0.659	0.094	-0.053	0.452	0.072	0.017	0.297	24
metadata-unlimited	-0.116	-0.047	-0.260	-0.449	-0.004	-0.786	-0.061	-0.030	-0.156	-0.017	0.033	-0.121	24
