Combination	Δ dieff@full	Δ dieff@full min	Δ dieff@full max	Δ duration	Δ duration min	Δ duration max	Δ first result	Δ first result min	Δ first result max	Δ last result	Δ last result min	Δ last result max	Queries	Results
baseline													27	374
interval-100-hagedorn	+0.160	+0.267	+0.047	+0.742	+0.600	+0.619	-0.386	-0.112	-0.540	-0.120	+0.171	-0.324	27	378
interval-100-hagedorn-once	+0.205	+0.299	+0.111	+0.308	+0.508	+0.126	-0.347	-0.093	-0.509	-0.096	+0.158	-0.278	27	378
interval-100-predicate	+0.367	+0.265	+0.321	+0.453	+0.515	+0.342	-0.509	-0.296	-0.636	-0.135	+0.086	-0.315	27	389
interval-1000-hagedorn	+0.246	+0.366	+0.170	+0.361	+0.535	+0.198	-0.369	-0.123	-0.528	+0.039	+0.446	-0.223	27	377
interval-1000-hagedorn-once	+0.232	+0.219	+0.194	+0.349	+0.499	+0.209	-0.348	-0.042	-0.529	+0.017	+0.335	-0.199	27	377
interval-1000-predicate	+0.360	+0.516	+0.279	+0.389	+0.536	+0.229	-0.416	-0.192	-0.555	-0.047	+0.260	-0.248	27	377
interval-2000-hagedorn	+0.247	+0.097	+0.216	+0.289	+0.412	+0.129	-0.402	-0.164	-0.547	+0.002	+0.341	-0.232	27	376
interval-2000-hagedorn-once	+0.188	+0.316	+0.038	+0.324	+0.537	+0.128	-0.379	-0.097	-0.524	+0.008	+0.408	-0.247	27	376
interval-2000-predicate	+0.441	+0.389	+0.535	+0.275	+0.418	+0.160	-0.402	-0.115	-0.567	+0.022	+0.424	-0.234	27	376
interval-5000-hagedorn	+0.207	+0.405	+0.046	+0.334	+0.522	+0.164	-0.384	-0.075	-0.546	+0.089	+0.570	-0.201	27	375
interval-5000-hagedorn-once	+0.248	+0.385	+0.162	+0.308	+0.474	+0.133	-0.340	-0.087	-0.479	+0.113	+0.520	-0.137	27	375
interval-5000-predicate	+0.422	+0.421	+0.505	+0.389	+0.613	+0.218	-0.384	-0.166	-0.518	+0.108	+0.482	-0.129	27	375
interval-10000-hagedorn	+0.423	+0.595	+0.274	+0.307	+0.520	+0.109	-0.374	-0.045	-0.558	+0.456	+1.145	+0.028	27	375
interval-10000-hagedorn-once	+0.352	+0.611	+0.135	+0.367	+0.521	+0.183	-0.400	-0.143	-0.556	+0.438	+1.099	+0.022	27	375
interval-10000-predicate	+0.465	+0.624	+0.311	+0.346	+0.456	+0.200	-0.320	-0.026	-0.496	+0.535	+1.210	+0.108	27	375
interval-20000-hagedorn	+0.132	+0.196	+0.092	+0.336	+0.567	+0.124	-0.411	-0.216	-0.556	-0.293	-0.131	-0.437	27	374
interval-20000-hagedorn-once	+0.090	+0.243	-0.023	+0.289	+0.478	+0.127	-0.381	-0.135	-0.546	-0.289	-0.071	-0.453	27	374
interval-20000-predicate	+0.094	+0.152	+0.043	+0.331	+0.530	+0.167	-0.405	-0.149	-0.549	-0.296	-0.055	-0.455	27	374
metadata-hagedorn	+0.186	+0.273	+0.068	+0.339	+0.566	+0.152	-0.343	-0.047	-0.506	-0.222	+0.010	-0.376	27	374
metadata-hagedorn-latency-50	+0.244	+0.385	+0.129	+0.579	+0.831	+0.367	+0.255	+1.050	-0.173	+0.241	+0.795	-0.103	27	374
metadata-hagedorn-latency-100	+0.270	+0.337	+0.183	+0.688	+1.085	+0.347	+0.757	+1.921	+0.143	+0.641	+1.412	+0.154	27	374
metadata-hagedorn-latency-300	+0.213	+0.301	+0.089	+1.359	+1.976	+0.858	+2.626	+5.219	+1.287	+2.052	+3.632	+1.077	27	374
metadata-hagedorn-once	+0.302	+0.215	+0.362	+0.379	+0.538	+0.180	-0.381	-0.090	-0.541	-0.248	+0.007	-0.405	27	374
metadata-predicate	+0.112	+0.126	+0.098	+0.295	+0.428	+0.114	-0.463	-0.245	-0.599	-0.354	-0.174	-0.487	27	380
overhead-hagedorn	+0.086	+0.126	+0.025	-0.072	+0.035	-0.174	-0.390	-0.102	-0.547	-0.314	-0.100	-0.455	27	374
overhead-hagedorn-latency-50	+0.340	+0.402	+0.243	+0.212	+0.455	-0.000	+0.207	+1.019	-0.224	+0.209	+0.785	-0.149	27	374
overhead-hagedorn-latency-100	+0.143	+0.331	-0.014	+0.363	+0.672	+0.106	+0.726	+1.857	+0.121	+0.592	+1.384	+0.099	27	374
overhead-hagedorn-latency-300	+0.340	+0.395	+0.219	+1.128	+1.700	+0.677	+2.562	+5.093	+1.240	+1.966	+3.546	+1.010	27	374
overhead-predicate	+0.130	+0.232	+0.013	-0.043	+0.095	-0.187	-0.401	-0.164	-0.556	-0.293	-0.085	-0.448	27	374
