combination	duration_total	duration_total_delta	duration_min	duration_min_delta	duration_max	duration_max_delta	first_result_total	first_result_total_delta	first_result_min	first_result_min_delta	first_result_max	first_result_max_delta	last_result_total	last_result_total_delta	last_result_min	last_result_min_delta	last_result_max	last_result_max_delta	dieff_total	dieff_total_delta	dieff_min	dieff_min_delta	dieff_max	dieff_max_delta	http	success	queries	restarts_total
baseline	27.442	0.000	0.011	0.000	6.203	0.000	11.843	0.000	0.010	0.000	3.671	0.000	21.394	0.000	0.022	0.000	2.825	0.000	381.720	0.000	0.005	0.000	437.822	0.000	4079	55	75	0.000
overhead	28.365	0.034	0.012	0.091	4.795	-0.227	12.816	0.082	0.011	0.100	3.298	-0.102	22.099	0.033	0.020	-0.091	2.823	-0.001	376.696	-0.013	0.005	0.100	293.048	-0.331	4199	56	75	0.000
interval-100-once	27.944	0.018	0.012	0.091	4.091	-0.340	13.238	0.118	0.011	0.100	3.726	0.015	22.242	0.040	0.033	0.500	2.846	0.007	263.673	-0.309	0.005	0.100	174.954	-0.600	4072	56	75	310.000
interval-1000-once	26.940	-0.018	0.013	0.182	3.895	-0.372	11.900	0.005	0.012	0.200	2.810	-0.235	20.260	-0.053	0.029	0.318	2.793	-0.011	270.652	-0.291	0.006	0.200	244.490	-0.442	4072	52	75	696.000
interval-10000-once	27.224	-0.008	0.011	0.000	3.807	-0.386	12.140	0.025	0.010	0.000	3.313	-0.098	20.616	-0.036	0.023	0.045	2.854	0.010	278.574	-0.270	0.005	0.000	242.762	-0.446	4071	55	75	307.000
interval-2000-once	26.674	-0.028	0.011	0.000	3.422	-0.448	12.508	0.056	0.011	0.100	3.295	-0.102	20.321	-0.050	0.037	0.682	2.861	0.013	216.964	-0.432	0.005	0.100	81.953	-0.813	4072	53	75	780.000
interval-20000-once	27.540	0.004	0.012	0.091	4.392	-0.292	12.612	0.065	0.011	0.100	3.105	-0.154	21.238	-0.007	0.021	-0.045	2.763	-0.022	278.151	-0.271	0.005	0.100	285.987	-0.347	4071	56	75	197.000
interval-5000-once	26.944	-0.018	0.011	0.000	3.872	-0.376	12.615	0.065	0.010	0.000	3.659	-0.003	20.567	-0.039	0.022	0.000	2.795	-0.011	248.641	-0.349	0.005	0.000	197.192	-0.550	4071	54	75	433.000
metadata-once	26.839	-0.022	0.017	0.545	3.774	-0.392	12.297	0.038	0.013	0.300	2.891	-0.212	20.880	-0.024	0.028	0.273	2.833	0.003	282.289	-0.260	0.006	0.300	219.539	-0.499	4071	56	75	338.000
metadata-unlimited	26.475	-0.035	0.010	-0.091	4.586	-0.261	12.200	0.030	0.010	0.000	3.318	-0.096	21.895	0.023	0.017	-0.227	2.714	-0.039	190.686	-0.500	0.005	0.000	42.697	-0.902	4072	55	75	755.000
